barrio;año;poblacion_total;numero_hogares;area_ha;estrato_promedio;codigo_geo;deficit_habitacional
Barrio_1;2010;5159;2039;0.91;5;CG_327;606
Barrio_1;2011;23183;10518;19.57;2;CG_674;1209
Barrio_1;2012;17133;7852;11.26;2;CG_168;853
Barrio_1;2013;29292;6669;12.74;6;CG_978;1777
Barrio_1;2014;36243;9903;3.19;3;CG_415;2786
Barrio_1;2015;29578;5491;10.26;6;CG_236;3036
Barrio_1;2016;45715;8648;4.68;6;CG_397;1862
Barrio_1;2017;41248;8125;4.65;1;CG_412;3879
Barrio_1;2018;22735;5952;13.13;6;CG_589;2537
Barrio_1;2019;3804;1299;15.91;6;CG_111;226
Barrio_1;2020;33126;8173;9.63;3;CG_125;2603
Barrio_1;2021;22517;4424;4.38;4;CG_423;2215
Barrio_1;2022;1252;247;12.54;3;CG_253;28
Barrio_1;2023;1043;497;8.05;1;CG_812;108
Barrio_1;2024;24667;6224;19.43;4;CG_899;2528
Barrio_1;2025;7951;2128;18.46;3;CG_571;827
Barrio_2;2010;10734;2297;18.63;4;CG_248;695
Barrio_2;2011;16552;4574;9.12;6;CG_612;724
Barrio_2;2012;36899;9212;12.93;3;CG_753;3249
Barrio_2;2013;6258;2291;9.78;4;CG_829;329
Barrio_2;2014;13989;2431;19.31;4;CG_180;1395
Barrio_2;2015;8725;1508;14.4;4;CG_952;751
Barrio_2;2016;2148;673;11.13;4;CG_877;122
Barrio_2;2017;1619;584;12.85;2;CG_512;126
Barrio_2;2018;14181;3400;14.34;6;CG_848;790
Barrio_2;2019;42305;10324;6.05;4;CG_671;2558
Barrio_2;2020;21089;4738;3.05;1;CG_499;694
Barrio_2;2021;22340;6834;8.93;2;CG_949;545
Barrio_2;2022;37609;6564;5.44;1;CG_499;3545
Barrio_2;2023;14174;3018;6.77;4;CG_378;1205
Barrio_2;2024;44655;7740;8.13;4;CG_790;1266
Barrio_2;2025;17910;3548;5.86;5;CG_254;457
Barrio_3;2010;12518;2281;3.11;5;CG_181;1174
Barrio_3;2011;46000;11947;12.67;4;CG_609;4283
Barrio_3;2012;40336;11273;11.59;6;CG_961;1540
Barrio_3;2013;39824;15543;8.28;3;CG_499;2225
Barrio_3;2014;48337;10371;14.0;4;CG_133;2729
Barrio_3;2015;40096;7499;8.29;1;CG_740;3082
Barrio_3;2016;30049;6396;3.84;1;CG_558;669
Barrio_3;2017;36563;7835;2.0;5;CG_191;3080
Barrio_3;2018;30261;7621;11.8;5;CG_861;1907
Barrio_3;2019;18806;5124;15.24;2;CG_530;1368
Barrio_3;2020;47662;23660;5.13;5;CG_578;4636
Barrio_3;2021;35693;6089;15.69;3;CG_889;3387
Barrio_3;2022;1136;311;9.61;2;CG_608;25
Barrio_3;2023;48260;11123;15.52;1;CG_432;1756
Barrio_3;2024;8174;1389;1.61;3;CG_240;619
Barrio_3;2025;8869;3998;19.78;2;CG_993;594
Barrio_4;2010;503;84;15.68;2;CG_836;45
Barrio_4;2011;48862;23705;4.26;6;CG_866;5249
Barrio_4;2012;26332;6312;7.14;1;CG_359;838
Barrio_4;2013;16854;2966;14.09;3;CG_569;616
Barrio_4;2014;8960;2263;3.97;4;CG_631;850
Barrio_4;2015;43782;9446;17.09;3;CG_928;2936
Barrio_4;2016;26409;4904;9.96;2;CG_895;2185
Barrio_4;2017;33651;8850;1.41;3;CG_939;3362
Barrio_4;2018;37607;15565;12.55;6;CG_846;3805
Barrio_4;2019;12950;3307;19.46;6;CG_523;315
Barrio_4;2020;21165;3892;1.58;3;CG_278;1328
Barrio_4;2021;16280;2964;10.68;3;CG_863;1624
Barrio_4;2022;47760;10602;9.24;1;CG_718;5396
Barrio_4;2023;11149;1979;10.8;1;CG_618;796
Barrio_4;2024;33464;7196;0.78;3;CG_791;989
Barrio_4;2025;33835;9989;6.63;2;CG_936;2163
Barrio_5;2010;42145;14022;9.37;5;CG_125;1342
Barrio_5;2011;28728;8827;9.17;2;CG_897;1451
Barrio_5;2012;13540;5558;14.43;2;CG_504;529
Barrio_5;2013;22708;5271;1.49;2;CG_250;1949
Barrio_5;2014;45095;11224;16.25;6;CG_770;1203
Barrio_5;2015;28092;5007;11.51;2;CG_172;1476
Barrio_5;2016;23872;6494;3.93;5;CG_259;636
Barrio_5;2017;13488;2426;16.55;2;CG_572;547
Barrio_5;2018;9581;1602;16.5;5;CG_341;1098
Barrio_5;2019;21344;3811;19.02;4;CG_915;2394
Barrio_5;2020;31466;9156;4.37;6;CG_110;1256
Barrio_5;2021;25805;4539;8.3;6;CG_967;2784
Barrio_5;2022;46273;8821;19.37;5;CG_755;2441
Barrio_5;2023;24542;5817;8.88;5;CG_963;2637
Barrio_5;2024;10634;2451;6.07;2;CG_397;1209
Barrio_5;2025;49322;12919;1.47;3;CG_354;2332
Barrio_6;2010;29351;11147;1.36;3;CG_266;2303
Barrio_6;2011;26312;11106;17.95;1;CG_263;3012
Barrio_6;2012;3877;666;13.29;2;CG_230;236
